0.616692	1.310544	MAUSAM
1.745326	2.430644	KASTO
2.894640	3.259037	6
4.088606	4.684619	WEATHER
5.441768	6.106223	KASTO
6.746395	7.177627	6
8.239338	8.712991	CALL
9.364515	9.885652	GARA
10.852056	11.331263	PHONE
12.170690	12.654889	GARA
14.444080	14.988180	CALL
15.546800	16.127498	GARADEU
17.051804	17.600896	PHONE
18.354077	18.957855	GARADEU
20.345962	21.165003	CHORA
21.706889	22.163352	LAI
24.125108	24.734101	CHORI
25.411097	25.940223	LAI
26.878802	27.445693	NATI
28.218340	28.632655	LAI
29.530766	30.258794	SUMINA
30.988764	31.664374	MIRA
32.538008	33.005287	ANIL
