0.245033	0.735099	TIME
0.772225	1.121211	KATI
1.176901	1.596427	HO
2.257273	2.621110	TIME
2.650811	2.944108	KATI
2.944108	3.419323	BHAYO
4.245094	4.516621	TIME
4.534281	4.743997	KATI
4.763865	5.134731	BAJYO
6.200971	6.472498	TIME
6.472498	6.728573	KATI
6.739610	7.143590	BHAYO
7.702097	8.201000	BAJYO
8.655753	9.061939	TIME
9.404108	9.852238	KATI
10.033256	10.514499	BHAYO
11.156892	11.465947	TIME
11.485815	11.728644	KATI
11.737474	12.137038	BHAYO
12.624904	12.909676	TIME
12.918506	13.163543	KATI
13.163543	13.677899	BAJYO
14.991384	15.302646	TIME
15.315892	15.496910	KATI
