1.035250	1.389958	GARA
2.133743	2.466453	GARA
3.177243	3.559447	KASTO
4.228991	4.788549	KAHILE
5.381102	5.799052	BATTI
6.511216	6.885171	BALA
7.639956	8.084027	BATTI
8.746697	9.054660	KHOLA
9.841066	10.319508	BATTI
10.774578	11.217275	NIBHAU
11.928064	12.352888	LIGHT
12.906947	13.322147	ON
13.878955	14.305153	GARA
14.926579	15.249665	LIGHT
15.904086	16.239546	OFF
16.869220	17.278920	GARA
18.052952	18.479151	FAN
18.935596	19.338423	CHALAU
20.090457	20.468537	FAN
21.080338	21.557406	BANDA
21.954733	22.507416	GARA
23.131591	23.588036	TV
23.953742	24.447308	KHOLA
25.302455	25.731403	TV
26.215345	26.726783	BANDA
27.130985	27.595679	GARA
28.300969	28.718919	TV
29.293600	29.820161	CHALAU
30.563947	30.796294	GEET
31.471337	31.955279	BAJAU
32.826924	33.074395	GEET
33.765936	34.248503	BANDA
34.759942	35.206763	GARA
36.167772	36.606344	HEATER
37.130156	37.570103	CHALAU
38.291892	38.702967	HEATER
39.206157	39.673600	BANDA
40.145169	40.624986	GARA
41.027812	41.466385	HEATER
41.920080	42.239042	ON
42.749105	43.255044	GARA
44.029076	44.420904	HEATER
44.929593	45.337919	OFF
45.865855	46.308552	GARA
47.044088	47.482660	DHOKA
48.010597	48.398300	KHOLA
49.194329	49.593031	DHOKA
50.152589	50.527919	BANDA
51.047606	51.453183	GARA
52.510430	52.892634	DHOKA
53.377951	53.674915	LOCK
54.285342	54.778907	GARA
55.447077	55.979138	TIMER
56.438333	56.868656	RAKHA
57.766423	58.224265	TIMER
